"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"JFL","2022-05-05","379","385","363","369","-4.16","10058"
"JFL","2022-05-04","396","402","385","385","-2.78","4668"
"JFL","2022-05-02","403.9","405","394","396","-3.91","6551"
"JFL","2022-04-28","422","434","412.1","412.1","-3.49","6573"
"JFL","2022-04-27","408","432","408","427","2.64","6007"
"JFL","2022-04-26","425.3","425.3","412","416","-0.24","7972"
"JFL","2022-04-25","422.9","436.5","410","417","0.55","19097"
"JFL","2022-04-24","384.5","414.7","382","414.7","10.00","11106"
"JFL","2022-04-21","372","383.9","365","377","-0.53","10503"
"JFL","2022-04-20","408","408","376","379","-5.25","11392"
"JFL","2022-04-19","404","412","396","400","-0.99","4975"
"JFL","2022-04-18","419","422","404","404","-3.58","6199"
"JFL","2022-04-17","438","442.6","417","419","-4.12","9459"
"JFL","2022-04-13","426","442","418","437","1.39","6840"
"JFL","2022-04-12","441","441","430","431","-3.36","10318"
"JFL","2022-04-11","467.2","476.5","430","446","-3.04","18522"
"JFL","2022-04-07","456","470.9","451.1","460","0.88","15229"
"JFL","2022-04-06","455.8","465","446.6","456","-1.94","5650"
"JFL","2022-04-05","460","474","450","465","-0.85","12027"
"JFL","2022-04-04","486.3","486.3","469","469","-1.64","4681"
"JFL","2022-04-03","465.1","477.3","465","476.8","0.59","9648"
"JFL","2022-03-31","490","498","470.1","474","-3.19","5213"
"JFL","2022-03-30","471","489.6","470","489.6","3.68","11546"
"JFL","2022-03-29","478","486.5","470","472.2","-1.01","7408"
"JFL","2022-03-28","485","506.8","471","477","-2.09","7503"
"JFL","2022-03-27","505","505","481","487.2","-3.24","9926"
"JFL","2022-03-24","503.5","518","500","503.5","-1.47","9578"
"JFL","2022-03-23","520","520","509","511","-1.62","5052"
"JFL","2022-03-22","526","535","519.4","519.4","-1.09","7875"
"JFL","2022-03-21","507","529.9","498.1","525.1","3.37","8077"
"JFL","2022-03-20","519","519","505","508","-0.78","4556"
"JFL","2022-03-16","525","525","510","512","-0.58","6468"
"JFL","2022-03-15","520","520","511","515","-1.15","6246"
"JFL","2022-03-14","526","529.3","510","521","0.39","5159"
"JFL","2022-03-13","502","520","502","519","4.87","19858"
"JFL","2022-03-10","461.1","495.5","461","494.9","5.30","15036"
"JFL","2022-03-09","485","490","460","470","-3.92","9803"
"JFL","2022-03-07","498","498","488","489.2","-0.57","6247"
"JFL","2022-03-06","495","499.9","485","492","0.39","9776"
"JFL","2022-03-02","502","506.1","484","490.1","-3.71","16524"
"JFL","2022-02-28","538","538","508","509","-3.60","10207"
"JFL","2022-02-27","524","535","524","528","-1.12","7345"
"JFL","2022-02-24","555","555","528","534","-2.20","16453"
"JFL","2022-02-23","556","563","545","546","0.15","8660"
"JFL","2022-02-22","550.9","556","545","545.2","0.93","10911"
"JFL","2022-02-21","542.5","544","534.1","540.2","0.78","8820"
